"Index","Prot"
"1207","HIST2H3PS2"
"1208","MINOS1"
"1209","UBA52"
"1210","LPL"
"1211","RNF135"
"1212","ROCK2"
"1213","CD28"
"1214","CD80"
"1215","MCM8"
"1216","TNFRSF4"
"1217","CXCR4"
"1218","UHRF1"
"1219","EGF"
"1220","MAP3K8"
"1221","SKA2"
"1222","C4BPA"
"1223","SOCS1"
"1224","TAB3"
"1225","WWOX"
"1226","TRAP1"
"1227","RBL2"
"1228","PRDX2"
"1229","SNAI1"
"1230","MIS12"
"1231","RASA1"
"1232","TNFRSF9"
"1233","USP45"
"1234","NFATC1"
"1235","APOA2"
"1236","TRIP13"
"1237","TCF4"
"1238","HIST1H2AD"
"1239","BATF2"
"1240","RGCC"
"1241","HIST1H2BA"
"1242","NUP155"
"1243","TP73"
"1244","HERC3"
"1245","MALT1"
"1246","SNX27"
"1247","NR1H3"
"1248","RPS29"
"1249","PAK6"
"1250","TUBB4A"
"1251","CNNM3"
"1252","SVIL"
"1253","TNFRSF10A"
"1254","PTPN1"
"1255","MED7"
"1256","DANCR"
"1257","CYP2E1"
"1258","CLEC7A"
"1259","NFKB2"
"1260","HAUS5"
"1261","TUBA4A"
"1262","PLA2G4A"
"1263","RCC1"
"1264","ORC6"
"1265","CASP9"
"1266","CCL7"
"1267","GPC4"
"1268","FAT1"
"1269","LPIN1"
"1270","CSN3"
"1271","PHF10"
"1272","ARID4A"
"1273","YWHAH"
"1274","TNNC1"
"1275","HELLS"
"1276","CYP4A11"
"1277","MSI2"
"1278","POLD2"
"1279","RALBP1"
"1280","TGFB3"
"1281","CENPO"
"1282","UBQLN1"
"1283","LPIN3"
"1284","RPL39"
"1285","CCNT2"
"1286","NCAPD3"
"1287","B4GALT5"
"1288","TUBGCP3"
"1289","NUP188"
"1290","HSD17B4"
"1291","NUP54"
"1292","MIB2"
"1293","RAI14"
"1294","SELP"
"1295","CSN2"
"1296","SMARCD1"
"1297","NEO1"
"1298","CEP41"
"1299","TCTN3"
"1300","NFIC"
"1301","CIITA"
"1302","DCN"
"1303","SOCS6"
"1304","CALD1"
"1305","MZT2A"
"1306","TMEM165"
"1307","SCLT1"
"1308","PKMYT1"
"1309","CLEC3B"
"1310","IRF6"
"1311","INTS5"
"1312","PPM1D"
"1313","TMEM67"
"1314","KLF2"
"1315","NFKBIE"
"1316","NFKBIZ"
"1317","NUP88"
"1318","OTUD7B"
"1319","SP3"
"1320","CENPQ"
"1321","MKRN2"
"1322","FANCC"
"1323","PSME4"
"1324","TAF6"
"1325","CD38"
"1326","CKAP2L"
"1327","PRIM1"
"1328","MARK4"
"1329","RPS20"
"1330","FREM2"
"1331","SERPINE1"
"1332","KIF15"
"1333","IL18"
"1334","PCNT"
"1335","SDHA"
"1336","SHH"
"1337","SMARCC2"
"1338","DLG5"
"1339","UBE3A"
"1340","CCNB2"
"1341","STAG1"
"1342","TCOF1"
"1343","SCML2"
"1344","PRKAR2B"
"1345","SIRT2"
"1346","HIST1H2AJ"
"1347","KCTD13"
"1348","TNFSF10"
"1349","KDM2A"
"1350","CPEB1"
"1351","TIMM8A"
"1352","ZBP1"
"1353","CASP2"
"1354","S100A4"
"1355","CD86"
"1356","NLRP3"
"1357","PPP2R5C"
"1358","MAP4K5"
"1359","ROCK1"
"1360","PSMB10"
"1361","UBE2H"
"1362","CDCA2"
"1363","CDYL"
"1364","CLIP3"
"1365","CD68"
"1366","CENPT"
"1367","IRF9"
"1368","IL2RA"
"1369","SMPD2"
"1370","ARPP19"
"1371","OTULIN"
"1372","YWHAE"
"1373","C2CD3"
"1374","SMARCA2"
"1375","SMC3"
"1376","BCL2A1"
"1377","H2BFS"
"1378","RIOK2"
"1379","UBE2N"
"1380","VDAC1"
"1381","CBFB"
"1382","DDX41"
"1383","PTGDS"
"1384","TUBGCP4"
"1385","GFI1"
"1386","ICOS"
"1387","KIAA0101"
"1388","TWIST1"
"1389","DCTN6"
"1390","TLR4"
"1391","KNTC1"
"1392","FABP1"
"1393","CSF1"
"1394","CCR7"
"1395","AZI2"
"1396","ZC3H7A"
"1397","REV1"
