source,target
APOB,HSP90B1
APOB,MLF1
APOB,SMAD3
APOB,LRP6
APOB,HRAS
APOB,EGFR
APOB,PSMD14
APOB,APOB
APOB,HSPA5
APOB,VCP
APOB,UCHL5
APOB,RAD21
APOB,SYVN1
APOB,M6PR
APOB,CFTR
APOB,DVL2
APOB,PPP2R5B
APOB,PPP2CB
APOB,MAPK14
APOB,LDLRAP1
APOB,ITGAM
APOB,PPP2R5E
APOB,SPP1
APOB,INS
APOB,SH3GL3
APOB,PTPN11
APOB,DNAJC3
APOB,PTPN6
APOB,CLU
APOB,CD3G
APOB,UBC
APOB,IL7R
APOB,MEPE
APOB,KTN1
APOB,FNBP1
APOB,FABP1
APOB,RAB5A
APOB,CDA
APOB,UBA52
APOB,PPP2R1B
APOB,PPP2R5A
APOB,FN1
APOB,PACSIN2
APOB,APOBEC3G
APOB,ITSN2
APOB,UBQLN2
APOB,SNX18
APOB,PECAM1
APOB,EPS15
APOB,PROC
APOB,SYT1
APOB,UBB
APOB,CD3D
APOB,EGF
APOB,SNAP91
APOB,PPP2R5D
APOB,RPS27A
APOB,ARPC2
APOB,HSPA8
APOB,TLR4
APOB,PPP2CA
APOB,SDC2
APOB,PPP2R5C
APOB,PPP2R1A
APOB,APP
APOB,IGFBP7
APOB,CLTC
APOB,SNX9
APOB,LPL
APOB,MEN1
APOB,IL6
APOB,ARRB2
APOB,ARRB1
APOB,DNM1
APOB,FGR
APOB,CTTN
APOB,DNAJC6
ARRB2,GAPDH
ARRB2,MAPK9
ARRB2,PTBP1
ARRB2,IGF1R
ARRB2,CSK
ARRB2,RPS27A
ARRB2,KPNA4
ARRB2,STAT1
ARRB2,NCL
ARRB2,USP20
ARRB2,PPM1B
ARRB2,PABPC1
ARRB2,MAP3K5
ARRB2,CTTN
ARRB2,CENPF
ARRB2,HNRNPM
ARRB2,HNRNPA1
ARRB2,MAP3K1
ARRB2,RPS13
ARRB2,MCM3
ARRB2,RPL6
ARRB2,UBC
ARRB2,TUBB4A
ARRB2,HSPA8
ARRB2,MED4
ARRB2,RPA1
ARRB2,TUBA1C
ARRB2,PPP2R1A
ARRB2,SRC
ARRB2,CLTC
ARRB2,HDAC2
ARRB2,FBL
ARRB2,SNRPD1
ARRB2,EPB41L3
ARRB2,MDM2
ARRB2,WEE1
ARRB2,YWHAH
ARRB2,PARK2
ARRB2,HIST1H1A
ARRB2,YWHAB
ARRB2,RAD18
ARRB2,HSP90AB1
ARRB2,TUBA1A
ARRB2,H2AFX
ARRB2,INSR
ARRB2,RPL14
ARRB2,HNRNPC
ARRB2,PPP1R12A
ARRB2,VCP
ARRB2,CDC42
ARRB2,SNRPD2
ARRB2,HSPA5
ARRB2,SMARCC2
ARRB2,MAPK3
ARRB2,SIRT1
ARRB2,HNRNPU
ARRB2,SRPK2
ARRB2,MAP2K4
ARRB2,MAPK1
ARRB2,MAP3K14
ARRB2,MGRN1
ARRB2,CDK4
ARRB2,NFKBIA
ARRB2,PPM1A
ARRB2,HIST1H1C
ARRB2,RPL15
ARRB2,KPNB1
ARRB2,CUL5
ARRB2,DYNC1H1
ARRB2,UBA52
ARRB2,CDK7
ARRB2,EEF2
ARRB2,CLNS1A
ARRB2,CENPM
ARRB2,PPP2R4
ARRB2,PRPF4
ARRB2,YWHAE
ARRB2,RANGAP1
ARRB2,RPL18
ARRB2,HNRNPA2B1
ARRB2,VIM
ARRB2,XRCC5
ARRB2,XRCC6
ARRB2,UBB
ARRB2,EEF1A1
ARRB2,EFTUD2
ARRB2,SF3B3
ARRB2,HSPA1B
ARRB2,RAF1
ARRB2,RPS8
ARRB2,HNRNPK
ARRB2,TRAF6
ARRB2,STUB1
ARRB2,EGFR
ARRB2,CSNK2A1
ARRB2,PRDM16
